# Goxel 0.12.0
# One line per voxel
# X Y Z RRGGBB
-1 0 -1 ffffff
-1 1 -1 ffffff
-1 2 -1 ffffff
-1 3 -1 ffffff
-1 4 -1 ffffff
0 0 -1 ffffff
1 0 -1 ffffff
2 0 -1 ffffff
3 0 -1 ffffff
4 0 -1 ffffff
0 1 -1 ffffff
1 1 -1 ffffff
2 1 -1 ffffff
3 1 -1 ffffff
4 1 -1 ffffff
0 2 -1 ffffff
1 2 -1 ffffff
2 2 -1 ffffff
3 2 -1 ffffff
4 2 -1 ffffff
0 3 -1 ffffff
1 3 -1 ffffff
2 3 -1 ffffff
3 3 -1 ffffff
4 3 -1 ffffff
0 4 -1 ffffff
1 4 -1 ffffff
2 4 -1 ffffff
3 4 -1 ffffff
4 4 -1 ffffff
-1 2 0 0014ff
-1 3 0 0014ff
-1 4 0 0014ff
-1 4 1 ff0000
-1 4 2 38ff00
-1 4 3 ffe600
0 0 0 ff0000
2 0 0 0014ff
3 0 0 00dcff
4 0 0 00dcff
2 1 0 0014ff
3 1 0 00dcff
4 1 0 00dcff
0 2 0 0014ff
1 2 0 0014ff
2 2 0 0014ff
3 2 0 00dcff
4 2 0 00dcff
0 3 0 0014ff
1 3 0 0014ff
2 3 0 0014ff
3 3 0 00dcff
4 3 0 00dcff
0 4 0 0014ff
1 4 0 0014ff
2 4 0 0014ff
3 4 0 00dcff
4 4 0 00dcff
0 0 1 38ff00
0 0 2 38ff00
0 0 3 ffe600
-1 -1 -1 ffffff
0 -1 -1 ffffff
1 -1 -1 ffffff
2 -1 -1 ffffff
3 -1 -1 ffffff
4 -1 -1 ffffff
2 -1 0 0014ff
3 -1 0 00dcff
4 -1 0 00dcff
